Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg,GB_Kadar_Air_L1_num,GB_Kadar_Air_L2_num,GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,Total_Waste_Kg,Defect_Cetak,Defect_Kemas,Defect_Overall,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Tahun_Produksi,GB_Kadar_Air_Mean
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,"20,11,2023",200104488.0,'010254,2.0,CB  1,,460.2,,2023-12-22,,"4,68/4,58/4,44",,SELESAI,,CK  2,,330.1,,2023-12-22,SELESAI,,2023-12-27,2023-12-28,773.0,0.96625,Selesai ,1.0,BP 20,2023-12-29,2024-01-02,241598.0,0.966392,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566666666666666,,460.2,330.1,0.7172968274663191,0.0,0,0,0,1.0,4.0,12.0,2023.0,4.566666666666666
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,"20,11,2023",200104489.0,010264,3.0,CB  1,,466.1,,2023-12-22,,"4,80/4,44/4,60",,SELESAI,,CK  2,,330.2,,2023-12-22,SELESAI,,2023-12-28,2023-12-28,781.0,0.97625,Selesai ,1.0,BP 20,2024-01-02,2024-01-03,243695.0,0.97478,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.613333333333333,,466.1,330.2,0.7084316670242436,0.0,0,0,0,0.0,1.0,12.0,2023.0,4.613333333333333
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,"20,11,2023",200104490.0,010274,4.0,CB  1,,464.2,,2023-12-27,,"4,77/4,77/4,51",,SELESAI,,CK  2,,330.2,,2023-12-22,SELESAI,,2023-12-28,2023-12-29,782.0,0.9775,Selesai ,1.0,BP 20,2024-01-03,2024-01-04,244075.0,0.9763,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.683333333333333,,464.2,330.2,0.7113313227057303,0.0,0,0,0,1.0,1.0,12.0,2023.0,4.683333333333333
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,"20,11,2023",200104491.0,010284,5.0,CB  1,,465.4,,2023-12-27,,"4,47/4,65/4,56",,SELESAI,,CK  2,,330.2,,2023-12-28,SELESAI,,2023-12-29,2023-12-29,783.0,0.97875,Selesai ,1.0,BP 20,2024-01-04,2024-01-05,242793.0,0.971172,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,,465.4,330.2,0.7094972067039106,0.0,0,0,0,0.0,1.0,12.0,2023.0,4.56
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,"20,11,2023",200104492.0,010294,6.0,CB  1,,464.6,,2024-01-05,,"4,42/4,62/4,78",,SELESAI,,CK  2,,330.0,,2024-01-04,SELESAI,,2024-01-08,2024-01-09,780.0,0.975,Selesai ,1.0,BP 20,2024-01-11,2024-01-11,243841.0,0.975364,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6066666666666665,,464.6,330.0,0.7102884201463624,0.0,0,0,0,1.0,0.0,1.0,2024.0,4.6066666666666665
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,2024-12-30 00:00:00,200104538.0,010784,7.0,CB1-1,,460.54,,2024-01-05,,,,SELESAI,,CK  2,,329.8,,2024-01-04,SELESAI,,2024-01-08,2024-01-08,776.0,0.97,Selesai ,1.0,BP 20,2024-01-10,2024-01-11,242337.0,0.969348,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,460.54,329.8,0.7161158639857559,0.0,0,0,0,0.0,1.0,1.0,2024.0,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,2024-12-30 00:00:00,200104539.0,010794,8.0,CB1-1,,474.0,,2024-01-05,,,,SELESAI,,CK  2,,329.9,,2024-01-08,SELESAI,,2024-01-09,2024-01-09,791.0,0.98875,Selesai ,1.0,BP 20,2024-01-11,2024-01-12,246772.0,0.987088,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,474.0,329.9,0.6959915611814346,0.0,0,0,0,0.0,1.0,1.0,2024.0,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,2024-12-30 00:00:00,200104540.0,010804,9.0,CB  1,,465.0,,2024-01-09,,"4,78/4,42/4,79",,SELESAI,,CK  2,,329.9,,2024-01-09,SELESAI,,2024-01-09,2024-01-10,780.0,0.975,Selesai ,1.0,BP 20,2024-01-12,2024-01-15,243395.0,0.97358,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.663333333333333,,465.0,329.9,0.7094623655913977,0.0,0,0,0,1.0,3.0,1.0,2024.0,4.663333333333333
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,2024-12-30 00:00:00,200104541.0,010814,10.0,CB  1,,467.3,,2024-01-09,,"4,54/4,69/4,53",,SELESAI,,CK  2,,330.2,,2024-01-09,SELESAI,,2024-01-10,2024-01-10,780.0,0.975,Selesai ,1.0,BP 20,2024-01-15,2024-01-16,243435.0,0.97374,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.586666666666667,,467.3,330.2,0.7066124545260004,0.0,0,0,0,0.0,1.0,1.0,2024.0,4.586666666666667
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,1.0,2024.0,15.12.2023,200104542.0,010824,11.0,CB  1,,462.0,,2024-09-11,,"4,71/4,59/4,64",,SELESAI,,CK  2,,330.1,,2024-01-10,SELESAI,,2024-01-11,2024-01-12,773.0,0.96625,Selesai ,1.0,BP 20,2024-01-16,2024-01-16,241533.0,0.966132,SELESAI,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646666666666667,,462.0,330.1,0.7145021645021645,0.0,0,0,0,1.0,0.0,1.0,2024.0,4.646666666666667
