Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg
s,APC PLUS TABLET/20E NF NG,APCP,F1791,08,2024,2024-07-24 00:00:00,300021630,080674 4,4,CB  2,,423.6,,2024-06-26 00:00:00,,"5,55/5,16/5,15",,SELESAI,CK2-1,CK3-1,461.32,306.27,2024-07-29 00:00:00,2024-07-29 00:00:00,SELESAI,,2024-07-30 00:00:00,2024-07-31 00:00:00,729,0.91125,Selesai,1,MEDISEAL 3,2024-08-01 00:00:00,2024-08-02 00:00:00,100992,0.9618285714285715,SELESAI,1,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104487,010244,1,CB  1,,466.4,,2023-12-21 00:00:00,,"4,76/4,65/4,56",,SELESAI,,CK  2,,330,,2023-12-20 00:00:00,SELESAI,,2023-12-22 00:00:00,2023-12-27 00:00:00,776,0.97,Selesai ,1,BP 20,2023-12-28 00:00:00,2023-12-29 00:00:00,242012,0.968048,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104488,'010254,2,CB  1,,460.2,,2023-12-22 00:00:00,,"4,68/4,58/4,44",,SELESAI,,CK  2,,330.1,,2023-12-22 00:00:00,SELESAI,,2023-12-27 00:00:00,2023-12-28 00:00:00,773,0.96625,Selesai ,1,BP 20,2023-12-29 00:00:00,2024-01-02 00:00:00,241598,0.966392,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104489,010264,3,CB  1,,466.1,,2023-12-22 00:00:00,,"4,80/4,44/4,60",,SELESAI,,CK  2,,330.2,,2023-12-22 00:00:00,SELESAI,,2023-12-28 00:00:00,2023-12-28 00:00:00,781,0.97625,Selesai ,1,BP 20,2024-01-02 00:00:00,2024-01-03 00:00:00,243695,0.97478,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104490,010274,4,CB  1,,464.2,,2023-12-27 00:00:00,,"4,77/4,77/4,51",,SELESAI,,CK  2,,330.2,,2023-12-22 00:00:00,SELESAI,,2023-12-28 00:00:00,2023-12-29 00:00:00,782,0.9775,Selesai ,1,BP 20,2024-01-03 00:00:00,2024-01-04 00:00:00,244075,0.9763,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104491,010284,5,CB  1,,465.4,,2023-12-27 00:00:00,,"4,47/4,65/4,56",,SELESAI,,CK  2,,330.2,,2023-12-28 00:00:00,SELESAI,,2023-12-29 00:00:00,2023-12-29 00:00:00,783,0.97875,Selesai ,1,BP 20,2024-01-04 00:00:00,2024-01-05 00:00:00,242793,0.971172,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,"20,11,2023",200104492,010294,6,CB  1,,464.6,,2024-01-05 00:00:00,,"4,42/4,62/4,78",,SELESAI,,CK  2,,330,,2024-01-04 00:00:00,SELESAI,,2024-01-08 00:00:00,2024-01-09 00:00:00,780,0.975,Selesai ,1,BP 20,2024-01-11 00:00:00,2024-01-11 00:00:00,243841,0.975364,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,2024-12-30 00:00:00,200104538,010784,7,CB1-1,,460.54,,2024-01-05 00:00:00,,,,SELESAI,,CK  2,,329.8,,2024-01-04 00:00:00,SELESAI,,2024-01-08 00:00:00,2024-01-08 00:00:00,776,0.97,Selesai ,1,BP 20,2024-01-10 00:00:00,2024-01-11 00:00:00,242337,0.969348,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,2024-12-30 00:00:00,200104539,010794,8,CB1-1,,474,,2024-01-05 00:00:00,,,,SELESAI,,CK  2,,329.9,,2024-01-08 00:00:00,SELESAI,,2024-01-09 00:00:00,2024-01-09 00:00:00,791,0.98875,Selesai ,1,BP 20,2024-01-11 00:00:00,2024-01-12 00:00:00,246772,0.987088,SELESAI,1,,,,,,,,,,,
